Original_Order,Eastings,Northings2
57971,53,0
58806,244257,75347
10624,409666,91424
40501,528379,191721
5650,444888,240911
30293,476181,260097
39738,434875,281370
97188,402295,281895
10625,577927,285924
44140,400397,290540
44141,400397,290540
9430,432933,316714
30291,445268,325610
24785,520872,356906
96967,340338,370178
20261,497269,371584
17538,440686,371729
59957,434665,384771
72024,439327,385471
72023,440893,385748
91555,533842,386670
17540,433539,387297
30292,388079,388821
58428,510800,389045
58429,510800,389045
17539,441694,390263
44142,462546,392191
24784,337779,395290
5449,480639,396886
72180,494529,397537
72248,494499,397632
72033,494635,397952
72201,494715,397969
72202,494715,397969
72473,494680,397998
72482,494680,397998
72155,494685,398008
72034,494621,398020
72256,494621,398020
72342,494621,398020
72477,494621,398020
72067,493654,398021
72469,494673,398030
72149,494664,398035
72485,494090,398035
72338,494650,398043
5463,477111,398118
5471,477111,398118
5510,477109,398118
5532,477111,398118
5563,477111,398131
72247,493447,398177
72114,498002,398189
72382,493686,398195
72460,493714,398199
72325,493656,398243
72043,494010,398271
72295,494010,398271
72502,460934,398292
72446,493529,398320
72488,493529,398320
72044,494123,398349
72046,494123,398349
72062,494123,398349
72063,494123,398349
72200,494123,398349
72227,494123,398349
72228,494123,398349
72284,494123,398349
72285,494123,398349
72287,494123,398349
72291,494123,398349
72293,494123,398349
72301,494123,398349
72302,494123,398349
72072,493897,398353
72078,493897,398353
72458,493442,398376
72221,493554,398399
72039,493850,398460
72400,493850,398460
72142,493647,398523
5597,477613,398584
72030,493700,398600
5470,477693,398612
5551,477693,398612
72467,493849,398630
72245,492221,398634
72089,493747,398640
72165,493747,398640
72453,493735,398641
72225,493531,398645
72226,493531,398645
72077,493750,398646
72246,493488,398647
72139,493779,398658
72421,493779,398658
72422,493779,398658
72143,493784,398665
72074,493390,398693
72331,493709,398707
5644,477220,398718
72117,493859,398720
72027,494114,398724
72051,494114,398724
72061,494114,398724
72084,494114,398724
72087,494114,398724
72095,494114,398724
72120,494114,398724
72121,494114,398724
72124,494114,398724
72141,494114,398724
72150,494114,398724
72156,494114,398724
72159,494114,398724
72193,494114,398724
72195,494114,398724
72229,494114,398724
72232,494114,398724
72238,494114,398724
72243,494114,398724
72279,494114,398724
72296,494114,398724
72334,494114,398724
72372,494114,398724
72408,494114,398724
72444,494114,398724
72447,494114,398724
72448,494114,398724
72471,494114,398724
72425,493752,398727
72082,493834,398761
72273,493834,398761
5527,476981,398770
5572,476913,398777
5525,476437,398808
5595,476174,398814
72464,493384,398814
72401,494109,398879
72454,494143,398880
72079,493292,398882
72211,493292,398882
72212,493292,398882
72185,493290,398901
72435,493502,398901
72443,494133,398901
72407,493918,398945
72237,493462,398950
72362,493462,398950
72405,493297,398978
72406,493297,398978
72418,493297,398978
72426,493297,398978
72484,493297,398978
72070,493645,398980
72148,493891,398983
72092,493068,399004
72099,493068,399004
72100,493068,399004
5476,475897,399031
72192,493499,399046
72261,493540,399063
72265,493540,399063
72277,493540,399063
72278,493540,399063
72282,493540,399063
72465,493185,399063
72102,493907,399073
72147,493907,399073
72255,493259,399074
72268,493259,399074
72308,493259,399074
72312,493259,399074
72337,493259,399074
72441,493066,399167
72492,496139,399181
72496,496139,399181
72266,493468,399226
72049,493292,399285
72878,489116,399286
5589,477396,399287
72050,493242,399307
72151,493240,399320
5451,477527,399331
5452,475084,399413
5577,477391,399435
5459,475583,399441
5528,475107,399445
5484,475330,399471
5576,477658,399515
5518,477528,399543
5448,478897,399570
5554,474823,399596
5537,473964,399604
5540,475048,399612
5618,475180,399622
5444,475706,399671
5538,475213,399706
5487,477389,399710
5591,477389,399710
5607,477389,399710
5612,477389,399710
5578,474611,399722
5623,474611,399722
5455,476017,399742
5467,476017,399742
5495,475865,399742
5496,475865,399742
5497,475865,399742
5469,475872,399743
5485,475872,399743
5514,475872,399743
5516,475872,399743
5553,475872,399743
5573,474252,399743
5615,475872,399743
5489,477435,399749
5490,477435,399749
5478,474883,399759
5557,475186,399759
5606,478887,399763
5501,478902,399780
5502,478902,399780
5552,477141,399807
5555,477141,399807
5458,476940,399815
5507,476940,399815
5519,477054,399822
5542,477054,399822
5486,474540,399830
5499,472718,399833
5619,477079,399841
5472,476628,399868
5477,476628,399868
5462,476680,399881
5647,476778,399884
5604,477095,399890
5581,476821,399891
5461,476839,399892
5481,476839,399892
5482,476839,399892
5592,476839,399892
5639,476821,399900
5579,476520,399905
5454,476669,399913
5634,475531,399918
5488,476823,399937
5561,481316,399950
5649,476932,399970
5498,476722,399974
5566,476722,399974
5567,476722,399974
5596,476722,399974
5598,476722,399974
5582,477094,399980
5613,477146,399984
72224,492887,399987
5624,481237,400018
5608,477196,400019
5609,477196,400019
5602,477158,400020
5603,477158,400020
5590,477157,400025
5353,474518,400027
5593,474518,400027
5594,474518,400027
